elap_secs	cum_tps	int_tps	cum_ips	int_ips
2950	96.71	96.59	0.00	0.00
2960	96.71	96.68	0.00	0.00
2970	96.71	96.49	0.00	0.00
2980	96.71	96.80	0.00	0.00
2990	96.71	96.98	0.00	0.00
3000	96.71	96.46	0.00	0.00
3010	96.71	96.79	0.00	0.00
3020	96.71	96.98	0.00	0.00
3030	96.71	96.49	0.00	0.00
3040	96.71	96.85	0.00	0.00
3050	96.71	96.77	0.00	0.00
3060	96.71	96.20	0.00	0.00
3070	96.71	96.97	0.00	0.00
3080	96.71	96.84	0.00	0.00
3090	96.71	96.58	0.00	0.00
3100	96.71	96.87	0.00	0.00
3110	96.71	96.53	0.00	0.00
3120	96.71	96.78	0.00	0.00
3130	96.71	96.77	0.00	0.00
3140	96.71	96.75	0.00	0.00
3150	96.71	96.69	0.00	0.00
3160	96.71	96.66	0.00	0.00
3170	96.71	96.68	0.00	0.00
3180	96.71	96.98	0.00	0.00
3190	96.71	96.63	0.00	0.00
3200	96.71	96.85	0.00	0.00
3210	96.71	96.56	0.00	0.00
3220	96.71	96.78	0.00	0.00
3230	96.71	96.57	0.00	0.00
3240	96.71	96.76	0.00	0.00
3250	96.71	96.78	0.00	0.00
3260	96.71	96.67	0.00	0.00
3270	96.71	96.54	0.00	0.00
3280	96.71	97.08	0.00	0.00
3290	96.71	96.47	0.00	0.00
3300	96.71	96.77	0.00	0.00
3310	96.71	96.49	0.00	0.00
3320	96.71	97.04	0.00	0.00
3330	96.71	96.48	0.00	0.00
3340	96.71	97.04	0.00	0.00
3350	96.71	96.57	0.00	0.00
3360	96.71	96.67	0.00	0.00
3370	96.71	96.57	0.00	0.00
3380	96.71	96.86	0.00	0.00
3390	96.71	96.86	0.00	0.00
3400	96.71	96.61	0.00	0.00
3410	96.71	96.42	0.00	0.00
3420	96.71	96.86	0.00	0.00
3430	96.71	96.94	0.00	0.00
3440	96.71	96.57	0.00	0.00
3450	96.71	96.43	0.00	0.00
3460	96.71	96.65	0.00	0.00
3470	96.71	97.16	0.00	0.00
3480	96.71	96.44	0.00	0.00
3490	96.71	96.68	0.00	0.00
3500	96.71	96.58	0.00	0.00
3510	96.71	96.87	0.00	0.00
3520	96.71	96.58	0.00	0.00
3530	96.71	97.04	0.00	0.00
3540	96.71	96.14	0.00	0.00
3550	96.71	97.23	0.00	0.00
3560	96.71	96.54	0.00	0.00
3570	96.71	96.74	0.00	0.00
3580	96.71	96.85	0.00	0.00
3590	96.71	96.94	0.00	0.00
3600	96.71	96.17	0.00	0.00
