profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp_ro,2000000,16,27,0.00,38328.93,1.47,38328.93,16
pl0,oltp_ro,2000000,16,28,0.00,38542.16,1.43,38542.16,16
pl0,oltp_ro,2000000,16,29,0.00,38056.71,1.49,38056.71,16
pl0,oltp_ro,2000000,14,30,0.00,38060.01,1.44,38060.01,16
pl0,oltp_ro,2000000,256,1,0.00,57372.10,36.47,57372.10,256
pl0,oltp_ro,2000000,256,2,0.00,59028.17,34.35,59028.17,256
pl0,oltp_ro,2000000,256,3,0.00,58823.33,34.38,58823.33,256
pl0,oltp_ro,2000000,256,4,0.00,58575.57,35.19,58575.57,256
pl0,oltp_ro,2000000,256,5,0.00,58834.08,34.31,58834.08,256
pl0,oltp_ro,2000000,256,6,0.00,58473.31,34.43,58473.31,256
pl0,oltp_ro,2000000,256,7,0.00,59102.84,34.43,59102.84,256
pl0,oltp_ro,2000000,256,8,0.00,58994.84,33.76,58994.84,256
pl0,oltp_ro,2000000,256,9,0.00,58953.08,34.14,58953.08,256
pl0,oltp_ro,2000000,256,10,0.00,58827.93,34.18,58827.93,256
pl0,oltp_ro,2000000,256,11,0.00,58616.87,33.74,58616.87,256
pl0,oltp_ro,2000000,256,12,0.00,58568.08,33.91,58568.08,256
pl0,oltp_ro,2000000,256,13,0.00,58906.41,34.16,58906.41,256
pl0,oltp_ro,2000000,256,14,0.00,58405.60,35.00,58405.60,256
pl0,oltp_ro,2000000,256,15,0.00,58697.04,34.49,58697.04,256
pl0,oltp_ro,2000000,256,16,0.00,58775.06,34.07,58775.06,256
pl0,oltp_ro,2000000,256,17,0.00,58517.37,35.20,58517.37,256
pl0,oltp_ro,2000000,256,18,0.00,58969.67,33.85,58969.67,256
pl0,oltp_ro,2000000,256,19,0.00,58748.97,34.55,58748.97,256
pl0,oltp_ro,2000000,256,20,0.00,58755.27,34.25,58755.27,256
pl0,oltp_ro,2000000,256,21,0.00,58712.64,34.16,58712.64,256
pl0,oltp_ro,2000000,256,22,0.00,58429.48,34.48,58429.48,256
pl0,oltp_ro,2000000,256,23,0.00,58656.58,34.84,58656.58,256
pl0,oltp_ro,2000000,256,24,0.00,58766.54,34.92,58766.54,256
pl0,oltp_ro,2000000,256,25,0.00,58707.44,34.40,58707.44,256
pl0,oltp_ro,2000000,256,26,0.00,58475.52,34.67,58475.52,256
pl0,oltp_ro,2000000,256,27,0.00,58713.48,34.29,58713.48,256
pl0,oltp_ro,2000000,256,28,0.00,58719.66,34.34,58719.66,256
pl0,oltp_ro,2000000,256,29,0.00,58740.18,34.07,58740.18,256
pl0,oltp_ro,2000000,254,30,0.00,58698.62,34.74,58698.62,256
pl0,oltp_ro,2000000,32,1,0.00,58818.14,2.28,58818.14,32
pl0,oltp_ro,2000000,32,2,0.00,59557.21,2.10,59557.21,32
pl0,oltp_ro,2000000,32,3,0.00,59765.38,2.02,59765.38,32
pl0,oltp_ro,2000000,32,4,0.00,59351.45,2.10,59351.45,32
pl0,oltp_ro,2000000,32,5,0.00,59510.69,2.11,59510.69,32
pl0,oltp_ro,2000000,32,6,0.00,59393.28,2.14,59393.28,32
pl0,oltp_ro,2000000,32,7,0.00,58415.78,2.49,58415.78,32
pl0,oltp_ro,2000000,32,8,0.00,58809.02,2.25,58809.02,32
pl0,oltp_ro,2000000,32,9,0.00,59294.28,2.12,59294.28,32
pl0,oltp_ro,2000000,32,10,0.00,59216.72,2.24,59216.72,32
pl0,oltp_ro,2000000,32,11,0.00,59379.86,2.15,59379.86,32
pl0,oltp_ro,2000000,32,12,0.00,59061.88,2.23,59061.88,32
pl0,oltp_ro,2000000,32,13,0.00,59514.15,2.10,59514.15,32
pl0,oltp_ro,2000000,32,14,0.00,59572.97,2.06,59572.97,32
pl0,oltp_ro,2000000,32,15,0.00,59840.41,1.97,59840.41,32
pl0,oltp_ro,2000000,32,16,0.00,59305.60,2.17,59305.60,32
pl0,oltp_ro,2000000,32,17,0.00,59294.08,2.08,59294.08,32
pl0,oltp_ro,2000000,32,18,0.00,59442.33,2.13,59442.33,32
pl0,oltp_ro,2000000,32,19,0.00,59680.12,2.06,59680.12,32
pl0,oltp_ro,2000000,32,20,0.00,59413.60,2.17,59413.60,32
pl0,oltp_ro,2000000,32,21,0.00,59559.30,2.06,59559.30,32
pl0,oltp_ro,2000000,32,22,0.00,58912.61,2.31,58912.61,32
pl0,oltp_ro,2000000,32,23,0.00,59472.13,2.10,59472.13,32
pl0,oltp_ro,2000000,32,24,0.00,59546.91,2.14,59546.91,32
pl0,oltp_ro,2000000,32,25,0.00,59588.00,2.10,59588.00,32
pl0,oltp_ro,2000000,32,26,0.00,59354.41,2.08,59354.41,32
pl0,oltp_ro,2000000,32,27,0.00,58939.70,2.22,58939.70,32
pl0,oltp_ro,2000000,32,28,0.00,59481.21,2.06,59481.21,32
pl0,oltp_ro,2000000,32,29,0.00,59631.70,2.08,59631.70,32
pl0,oltp_ro,2000000,31,30,0.00,59642.20,2.02,59642.20,32
pl0,oltp_ro,2000000,4,1,0.00,11364.13,1.22,11364.13,4
pl0,oltp_ro,2000000,4,2,0.00,11127.04,1.23,11127.04,4
pl0,oltp_ro,2000000,4,3,0.00,11440.91,1.11,11440.91,4
pl0,oltp_ro,2000000,4,4,0.00,11471.07,1.07,11471.07,4
pl0,oltp_ro,2000000,4,5,0.00,10895.01,1.40,10895.01,4
pl0,oltp_ro,2000000,4,6,0.00,10799.02,1.41,10799.02,4
pl0,oltp_ro,2000000,4,7,0.00,10686.88,1.40,10686.88,4
pl0,oltp_ro,2000000,4,8,0.00,9951.04,1.53,9951.04,4
pl0,oltp_ro,2000000,4,9,0.00,11516.70,1.09,11516.70,4
pl0,oltp_ro,2000000,4,10,0.00,10860.24,1.39,10860.24,4
pl0,oltp_ro,2000000,4,11,0.00,10872.04,1.39,10872.04,4
pl0,oltp_ro,2000000,4,12,0.00,10125.02,1.40,10125.02,4
pl0,oltp_ro,2000000,4,13,0.00,9891.03,1.40,9891.03,4
pl0,oltp_ro,2000000,4,14,0.00,10841.96,1.40,10841.96,4
pl0,oltp_ro,2000000,4,15,0.00,10859.04,1.38,10859.04,4
pl0,oltp_ro,2000000,4,16,0.00,11565.82,1.08,11565.82,4
pl0,oltp_ro,2000000,4,17,0.00,10826.14,1.41,10826.14,4
