engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
rocks,100,ext4,rocks0,uniform,oltp_ro,psfm,60000000,98,240,0.00,70190.73,18.46,8257.70,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,42807.97,52.04,3289.47,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,70403.09,28.51,5419.01,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,82806.55,20.41,6375.07,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,83894.17,19.73,6459.01,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,84314.33,19.55,6490.09,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,84348.97,19.54,6493.82,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,84498.05,19.50,6504.80,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,84512.00,19.48,6503.70,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,84838.92,19.47,6529.70,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,100,0.00,84733.36,19.78,6520.30,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,110,0.00,85338.33,19.34,6571.00,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,120,0.00,85611.68,19.23,6588.80,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,130,0.00,85256.62,19.37,6560.00,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,140,0.00,85300.29,19.39,6563.50,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,150,0.00,85416.79,19.34,6576.49,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,160,0.00,85684.41,19.25,6593.91,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,170,0.00,85672.87,19.28,6590.28,100
rocks,100,xfs,rocks0,pareto,oltp_ro,psfm,60000000,100,180,0.00,85786.31,19.16,6603.62,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,10,0.00,18254.64,68.64,2143.07,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,20,0.00,21602.04,59.30,2540.69,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,30,0.00,24853.10,51.96,2924.71,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,40,0.00,27914.98,46.91,3284.70,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,50,0.00,30823.81,42.65,3626.27,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,60,0.00,33797.67,39.13,3977.13,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,70,0.00,36831.66,36.15,4333.21,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,80,0.00,40320.46,33.20,4744.49,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,90,0.00,44202.24,30.49,5199.10,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,100,0.00,48490.21,27.90,5705.10,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,110,0.00,54068.70,25.07,6360.70,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,120,0.00,59586.99,22.59,7008.60,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,130,0.00,62654.60,21.33,7373.80,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,140,0.00,64210.21,20.76,7553.09,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,150,0.00,65223.70,20.39,7668.91,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,160,0.00,65884.58,20.02,7758.50,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,100,170,0.00,66270.31,19.88,7795.40,100
rocks,100,xfs,rocks0,uniform,oltp_ro,psfm,60000000,98,180,0.00,66520.38,19.84,7824.00,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,10,5979.04,25963.35,84.22,1992.38,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,20,9998.12,43271.10,50.70,3333.01,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,30,14075.15,60929.98,36.75,4691.78,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,40,17996.35,77941.31,25.12,5998.82,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,50,16995.10,73615.00,27.15,5664.70,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,60,18963.79,82124.78,19.95,6321.50,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,70,14151.51,61283.44,32.01,4717.00,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,80,10275.18,44504.81,39.43,3425.09,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,90,9846.52,42628.50,41.22,3282.31,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,100,10234.48,44351.62,39.64,3411.49,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,110,10752.62,46540.77,38.14,3584.11,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,120,11571.50,50109.10,35.50,3857.30,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,130,6103.59,26439.84,55.19,2034.30,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,140,10960.63,47453.51,38.27,3653.41,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,150,12513.80,54198.91,32.81,4171.70,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,160,12109.89,52458.26,34.23,4036.50,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,170,12642.41,54746.02,33.01,4213.70,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,180,12354.10,53478.41,33.61,4118.30,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,190,12404.18,53729.90,33.05,4134.79,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,200,12856.02,55699.37,31.89,4285.41,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,210,12825.71,55506.53,32.33,4275.10,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,220,12384.00,53654.48,33.82,4128.20,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,230,10950.90,47438.11,39.00,3650.10,100
wt,100,ext4,wt0,pareto,oltp,psfm,60000000,100,240,12497.38,54097.62,33.82,4165.89,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,10,4228.15,11996.95,100.85,1409.08,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,20,4976.63,14069.17,87.43,1658.71,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,30,5581.70,15776.60,79.11,1860.70,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,40,6181.50,17479.09,72.08,2060.40,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,50,6822.87,19269.51,65.85,2274.19,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,60,7489.03,21144.99,61.34,2496.51,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,70,8181.89,23147.38,55.39,2727.40,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,80,8910.40,25186.80,51.58,2969.80,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,90,9728.91,27501.12,48.19,3243.20,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,100,10630.19,30051.26,44.41,3543.40,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,110,11724.03,33123.61,40.25,3907.88,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,120,12830.69,36261.74,37.48,4277.06,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,130,2858.46,8086.49,413.26,952.49,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,140,6721.89,19002.66,41.27,2240.83,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,150,13123.91,37102.44,36.51,4374.50,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,160,13812.90,39036.49,34.59,4604.60,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,170,14201.38,40114.95,33.80,4733.79,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,180,14298.11,40427.91,33.15,4765.70,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,190,14451.41,40856.13,31.82,4817.10,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,200,14438.70,40810.40,31.10,4813.10,100
wt,100,ext4,wt0,uniform,oltp,psfm,60000000,100,210,14532.81,41067.81,30.68,4844.30,100
