tot_inserts	elap_secs	cum_ips	int_ips
259134000	6110	42410.96	40287.20
259565000	6120	42412.54	43381.98
259986000	6130	42411.93	42036.94
260326000	6140	42398.13	33952.47
260686000	6150	42387.63	35949.67
261094000	6160	42384.75	40621.27
261486000	6170	42380.18	39540.04
261919000	6180	42381.28	43054.59
262342000	6190	42380.93	42169.28
262757000	6200	42379.72	41624.87
263073000	6210	42362.20	31527.49
263414000	6220	42349.32	34302.38
263951000	6230	42367.22	53448.79
264461000	6240	42381.33	51209.96
265110000	6250	42417.23	64776.92
265793000	6260	42458.38	68102.50
266310000	6270	42473.02	51622.57
266872000	6280	42495.41	56641.81
267410000	6290	42513.01	53511.04
267937000	6300	42529.10	52636.84
268449000	6310	42543.30	51550.54
268908000	6320	42548.26	45662.55
269364000	6330	42553.41	45819.94
269842000	6340	42561.35	47562.19
270296000	6350	42565.90	45459.10
270741000	6360	42568.72	44353.63
271198000	6370	42574.12	46031.43
271657000	6380	42579.10	45739.91
272033000	6390	42571.18	37528.70
272478000	6400	42574.58	44759.61
272942000	6410	42580.44	46325.88
273357000	6420	42578.56	41375.87
273811000	6430	42582.72	45241.65
274253000	6440	42585.80	44583.42
274590000	6450	42571.76	33569.08
275003000	6460	42569.77	41287.61
275445000	6470	42572.03	44023.90
275855000	6480	42570.06	41284.87
276276000	6490	42569.21	42020.16
276712000	6500	42570.46	43378.77
277049000	6510	42557.39	33988.91
277430000	6520	42550.46	38046.73
277857000	6530	42550.43	42529.88
278249000	6540	42545.09	39067.17
278642000	6550	42540.65	39616.94
279058000	6560	42539.03	41479.71
279415000	6570	42528.32	35536.53
279827000	6580	42526.74	41482.08
280212000	6590	42520.51	38423.15
280630000	6600	42519.25	41695.76
281041000	6610	42517.03	41054.84
281425000	6620	42511.09	38565.83
281771000	6630	42498.82	34417.59
282182000	6640	42497.23	41435.63
282602000	6650	42496.22	41828.50
282997000	6660	42491.42	39311.31
283390000	6670	42486.97	39509.40
283815000	6680	42486.87	42423.64
284096000	6690	42465.20	28027.13
284506000	6700	42463.34	41210.17
284908000	6710	42459.68	40019.91
285259000	6720	42449.15	35333.20
285677000	6730	42448.09	41737.39
286081000	6740	42445.16	40472.85
286435000	6750	42434.46	35251.94
286754000	6760	42418.73	31823.62
287217000	6770	42424.78	46537.34
287716000	6780	42435.61	49740.83
288193000	6790	42443.63	47906.00
288780000	6800	42467.21	58396.34
289264000	6810	42476.31	48706.85
289933000	6820	42512.01	66773.13
290527000	6830	42536.62	59293.27
291016000	6840	42545.66	48695.48
291545000	6850	42561.28	53326.61
292069000	6860	42575.53	52321.52
292523000	6870	42579.48	45286.78
293012000	6880	42588.48	48753.74
293470000	6890	42593.52	46081.09
293957000	6900	42602.10	48486.66
294353000	6910	42597.56	39477.62
294826000	6920	42604.68	47547.25
295234000	6930	42601.96	40726.69
295648000	6940	42600.56	41624.77
296108000	6950	42605.31	45889.86
296563000	6960	42609.30	45372.96
296992000	6970	42609.98	43085.27
297382000	6980	42604.68	38918.27
297797000	6990	42603.01	41441.98
298224000	7000	42602.89	42517.18
298570000	7010	42591.92	34857.95
298682000	7020	42547.11	11182.11
298808000	7030	42504.36	12569.83
298942000	7040	42463.20	13440.32
299092000	7050	42424.15	14976.04
299293000	7060	42392.31	20027.90
299515000	7070	42363.63	22153.48
299575000	7080	42312.75	6049.00
299705000	7090	42271.31	12979.23
300078000	7100	42264.00	37107.04
300427000	7110	42254.13	35188.55
300759000	7120	42241.17	33064.44
301187000	7130	42241.64	42570.12
301608000	7140	42241.90	42430.96
301946000	7150	42230.00	33749.38
302376000	7160	42231.17	43064.60
302726000	7170	42220.95	34919.68
303138000	7180	42219.37	41093.16
303553000	7190	42218.21	41384.12
303983000	7200	42219.44	43112.09
304401000	7210	42218.77	41733.23
304778000	7220	42212.79	37881.83
305137000	7230	42203.97	35842.65
305559000	7240	42203.84	42115.77
305943000	7250	42198.47	38315.71
306370000	7260	42199.65	43066.06
306797000	7270	42200.12	42538.35
307232000	7280	42201.76	43391.52
307505000	7290	42181.22	27250.95
307817000	7300	42166.66	31464.30
308243000	7310	42167.15	42523.46
308640000	7320	42163.86	39755.66
309067000	7330	42164.29	42474.88
309490000	7340	42164.83	42563.90
309861000	7350	42157.53	36838.45
310221000	7360	42149.05	35928.14
310632000	7370	42148.06	41414.75
311077000	7380	42151.10	44384.60
311540000	7390	42156.92	46467.28
312079000	7400	42172.58	53706.66
312543000	7410	42178.16	46293.52
313144000	7420	42202.20	59986.03
313798000	7430	42233.58	65583.63
314408000	7440	42258.33	60497.87
314972000	7450	42277.59	56677.72
315499000	7460	42292.05	53157.15
315949000	7470	42295.47	44834.11
316467000	7480	42307.93	51578.21
316958000	7490	42317.37	49421.24
317439000	7500	42324.97	48008.78
317907000	7510	42330.67	46590.34
318374000	7520	42336.94	47081.36
318737000	7530	42328.80	36223.93
319189000	7540	42332.53	45132.30
319663000	7550	42339.00	47197.05
320107000	7560	42342.11	44708.49
320525000	7570	42341.12	41592.04
320984000	7580	42345.73	45835.83
321382000	7590	42342.81	40112.88
321814000	7600	42343.86	43135.30
322260000	7610	42346.55	44382.53
322705000	7620	42349.26	44406.75
323151000	7630	42352.67	44973.28
323557000	7640	42350.27	40518.96
323963000	7650	42347.86	40514.92
324368000	7660	42345.29	40386.92
324805000	7670	42347.37	43946.10
325203000	7680	42343.93	39712.63
325610000	7690	42341.54	40513.64
326034000	7700	42341.84	42574.56
326394000	7710	42333.77	36101.08
326785000	7720	42329.36	38944.22
327186000	7730	42326.70	40261.04
327600000	7740	42325.11	41108.13
328009000	7750	42323.71	41229.84
328425000	7760	42322.20	41167.74
328743000	7770	42309.09	32049.99
329093000	7780	42299.45	34843.21
329527000	7790	42301.25	43714.75
329947000	7800	42300.60	41799.36
330376000	7810	42301.12	42699.31
330790000	7820	42300.32	41670.86
331145000	7830	42291.33	35305.82
331461000	7840	42278.17	31877.33
331896000	7850	42279.49	43309.44
332323000	7860	42279.90	42606.27
332715000	7870	42276.32	39444.56
333103000	7880	42271.83	38738.02
333462000	7890	42263.39	35661.07
333847000	7900	42259.07	38822.22
334260000	7910	42257.76	41221.68
334696000	7920	42259.17	43374.45
335152000	7930	42263.28	45508.98
335659000	7940	42274.26	51036.84
336100000	7950	42276.39	43968.10
336607000	7960	42286.81	50538.28
337172000	7970	42305.04	56932.69
337849000	7980	42336.70	67484.05
338362000	7990	42347.80	51187.39
338942000	8000	42367.28	57907.35
339460000	8010	42379.45	52191.44
339959000	8020	42388.70	49780.53
340484000	8030	42401.06	52264.81
340953000	8040	42406.97	47187.85
