elap_secs	cum_tps	int_tps	cum_ips	int_ips
4360	36.00	37.76	0.00	0.00
4370	35.99	31.88	0.00	0.00
4380	35.99	35.95	0.00	0.00
4390	35.99	34.96	0.00	0.00
4400	35.98	35.16	0.00	0.00
4410	35.99	37.06	0.00	0.00
4420	35.99	36.86	0.00	0.00
4430	35.98	33.35	0.00	0.00
4440	35.98	34.76	0.00	0.00
4450	35.98	35.00	0.00	0.00
4460	35.98	36.76	0.00	0.00
4470	35.98	36.65	0.00	0.00
4480	35.98	36.46	0.00	0.00
4490	35.98	34.66	0.00	0.00
4500	35.97	32.47	0.00	0.00
4510	35.97	35.95	0.00	0.00
4520	35.97	35.66	0.00	0.00
4530	35.97	35.31	0.00	0.00
4540	35.97	37.26	0.00	0.00
4550	35.98	37.75	0.00	0.00
4560	35.97	34.75	0.00	0.00
4570	35.97	34.86	0.00	0.00
4580	35.97	33.77	0.00	0.00
4590	35.97	37.76	0.00	0.00
4600	35.97	33.66	0.00	0.00
4610	35.96	35.55	0.00	0.00
4620	35.96	33.60	0.00	0.00
4630	35.96	36.16	0.00	0.00
4640	35.96	34.56	0.00	0.00
4650	35.96	35.25	0.00	0.00
4660	35.95	35.16	0.00	0.00
4670	35.96	39.75	0.00	0.00
4680	35.96	36.25	0.00	0.00
4690	35.95	30.96	0.00	0.00
4700	35.96	38.13	0.00	0.00
4710	35.95	32.46	0.00	0.00
4720	35.94	33.55	0.00	0.00
4730	35.94	35.05	0.00	0.00
4740	35.94	36.55	0.00	0.00
4750	35.95	38.96	0.00	0.00
4760	35.95	35.55	0.00	0.00
4770	35.94	30.16	0.00	0.00
4780	35.94	35.83	0.00	0.00
4790	35.93	35.27	0.00	0.00
4800	35.95	40.85	0.00	0.00
4810	35.94	31.37	0.00	0.00
4820	35.94	37.15	0.00	0.00
4830	35.93	32.37	0.00	0.00
4840	35.93	37.06	0.00	0.00
4850	35.93	35.25	0.00	0.00
4860	35.93	35.75	0.00	0.00
4870	35.92	32.57	0.00	0.00
4880	35.93	36.25	0.00	0.00
4890	35.92	34.46	0.00	0.00
4900	35.93	38.35	0.00	0.00
4910	35.92	31.36	0.00	0.00
4920	35.92	38.04	0.00	0.00
4930	35.92	33.36	0.00	0.00
4940	35.92	36.83	0.00	0.00
4950	35.91	32.65	0.00	0.00
4960	35.92	38.95	0.00	0.00
4970	35.92	35.86	0.00	0.00
4980	35.91	31.36	0.00	0.00
4990	35.91	38.65	0.00	0.00
5000	35.91	34.85	0.00	0.00
5010	35.91	35.16	0.00	0.00
5020	35.91	35.80	0.00	0.00
5030	35.90	31.56	0.00	0.00
5040	35.91	37.76	0.00	0.00
5050	35.90	32.87	0.00	0.00
5060	35.91	38.76	0.00	0.00
5070	35.90	33.75	0.00	0.00
5080	35.90	36.46	0.00	0.00
5090	35.91	41.25	0.00	0.00
5100	35.90	30.67	0.00	0.00
5110	35.90	36.33	0.00	0.00
5120	35.91	38.05	0.00	0.00
5130	35.90	33.06	0.00	0.00
5140	35.90	35.85	0.00	0.00
5150	35.90	33.36	0.00	0.00
5160	35.90	35.75	0.00	0.00
5170	35.90	36.76	0.00	0.00
5180	35.90	35.75	0.00	0.00
5190	35.90	34.90	0.00	0.00
5200	35.90	36.65	0.00	0.00
5210	35.90	36.96	0.00	0.00
5220	35.90	36.36	0.00	0.00
5230	35.90	33.16	0.00	0.00
5240	35.90	40.55	0.00	0.00
5250	35.90	33.36	0.00	0.00
5260	35.90	33.96	0.00	0.00
5270	35.90	36.22	0.00	0.00
5280	35.90	36.46	0.00	0.00
5290	35.89	33.97	0.00	0.00
5300	35.90	37.15	0.00	0.00
5310	35.89	34.65	0.00	0.00
5320	35.89	34.95	0.00	0.00
5330	35.89	35.96	0.00	0.00
5340	35.89	35.15	0.00	0.00
5350	35.89	35.21	0.00	0.00
5360	35.89	35.86	0.00	0.00
5370	35.89	36.65	0.00	0.00
5380	35.89	37.45	0.00	0.00
5390	35.89	35.75	0.00	0.00
5400	35.89	36.65	0.00	0.00
5410	35.89	35.15	0.00	0.00
5420	35.89	33.76	0.00	0.00
5430	35.89	35.82	0.00	0.00
5440	35.89	36.65	0.00	0.00
5450	35.89	37.45	0.00	0.00
5460	35.89	36.65	0.00	0.00
5470	35.89	35.46	0.00	0.00
5480	35.89	33.86	0.00	0.00
5490	35.89	34.16	0.00	0.00
5500	35.89	36.92	0.00	0.00
5510	35.89	34.65	0.00	0.00
5520	35.88	34.75	0.00	0.00
5530	35.89	38.27	0.00	0.00
5540	35.89	35.55	0.00	0.00
5550	35.89	35.45	0.00	0.00
5560	35.88	32.46	0.00	0.00
5570	35.88	34.05	0.00	0.00
5580	35.88	38.54	0.00	0.00
5590	35.88	35.35	0.00	0.00
5600	35.88	34.15	0.00	0.00
5610	35.88	34.76	0.00	0.00
5620	35.88	36.45	0.00	0.00
5630	35.88	38.36	0.00	0.00
5640	35.88	35.26	0.00	0.00
5650	35.88	33.16	0.00	0.00
5660	35.87	33.08	0.00	0.00
5670	35.87	36.05	0.00	0.00
5680	35.87	36.05	0.00	0.00
5690	35.88	37.76	0.00	0.00
5700	35.87	33.36	0.00	0.00
5710	35.87	34.54	0.00	0.00
5720	35.87	36.55	0.00	0.00
5730	35.87	33.66	0.00	0.00
5740	35.87	37.63	0.00	0.00
5750	35.87	33.96	0.00	0.00
5760	35.87	37.15	0.00	0.00
5770	35.86	33.45	0.00	0.00
5780	35.86	36.25	0.00	0.00
5790	35.86	32.95	0.00	0.00
5800	35.86	38.65	0.00	0.00
5810	35.86	33.97	0.00	0.00
5820	35.86	36.72	0.00	0.00
5830	35.86	34.65	0.00	0.00
5840	35.87	39.95	0.00	0.00
5850	35.86	32.16	0.00	0.00
5860	35.86	38.16	0.00	0.00
5870	35.86	32.26	0.00	0.00
5880	35.86	36.96	0.00	0.00
5890	35.86	34.75	0.00	0.00
5900	35.86	38.03	0.00	0.00
5910	35.86	36.46	0.00	0.00
5920	35.86	33.56	0.00	0.00
5930	35.85	31.47	0.00	0.00
5940	35.85	36.85	0.00	0.00
5950	35.85	35.36	0.00	0.00
5960	35.86	39.55	0.00	0.00
5970	35.86	33.77	0.00	0.00
5980	35.85	33.50	0.00	0.00
5990	35.86	41.35	0.00	0.00
6000	35.85	31.17	0.00	0.00
6010	35.85	36.55	0.00	0.00
6020	35.85	33.76	0.00	0.00
6030	35.85	37.34	0.00	0.00
6040	35.85	35.66	0.00	0.00
6050	35.85	35.95	0.00	0.00
6060	35.85	35.60	0.00	0.00
6070	35.85	32.46	0.00	0.00
6080	35.85	37.46	0.00	0.00
6090	35.85	35.46	0.00	0.00
6100	35.85	37.04	0.00	0.00
6110	35.85	37.75	0.00	0.00
6120	35.84	29.07	0.00	0.00
6130	35.85	39.25	0.00	0.00
6140	35.84	32.99	0.00	0.00
6150	35.85	38.45	0.00	0.00
6160	35.85	35.45	0.00	0.00
6170	35.84	31.56	0.00	0.00
6180	35.84	36.96	0.00	0.00
6190	35.84	35.55	0.00	0.00
6200	35.84	37.25	0.00	0.00
6210	35.84	32.28	0.00	0.00
6220	35.84	35.75	0.00	0.00
6230	35.84	35.35	0.00	0.00
6240	35.84	40.16	0.00	0.00
6250	35.84	34.26	0.00	0.00
6260	35.84	34.06	0.00	0.00
6270	35.83	31.66	0.00	0.00
6280	35.84	37.75	0.00	0.00
